title,url,discounted_price,original_price
LED Flashlight Waterproof Torch 3 lighting modes Zoomable camping light,https://www.cigabuy.com/led-flashlight-waterproof-torch-3-lighting-modes-zoomable-camping-light-p-20068.html,€2.20,€6.73 
1.4 inch Immunity Monitor Fitness Tracker Waterproof Smart Watch,https://www.cigabuy.com/14-inch-immunity-monitor-fitness-tracker-waterproof-smart-watch-p-19465.html,€12.01,€16.82 
Printed Yoga Pants Women Sport Leggings Tight Trouser Pencil Sport,https://www.cigabuy.com/printed-yoga-pants-women-sport-leggings-tight-trouser-pencil-sport-p-19618.html,€3.25,€13.83 
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html,€1.78,€4.59 
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html,€4.65,€16.45 
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html,€3.78,€16.86 
Kemei 1971B Electric Hair Clipper Cordless Trimmer Engraving Shears Rechargeable,https://www.cigabuy.com/kemei-1971b-electric-hair-clipper-cordless-trimmer-engraving-shears-rechargeable-p-20156.html,€14.64,€39.46 
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,€3.03,€13.13 
Xiaomi 3D Men Electric Shaver Razor Enchen BlackStone3 IPX7 Waterproof,https://www.cigabuy.com/xiaomi-3d-men-electric-shaver-razor-enchen-blackstone3-ipx7-waterproof-p-20146.html,€12.54,€30.20 
NAVIFORCE 9182 Men Watch Top Brand Big Dial Sport Quartz Watches Waterproof,https://www.cigabuy.com/naviforce-9182-men-watch-top-brand-big-dial-sport-quartz-watches-waterproof-p-20148.html,€16.04,€41.77 
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html,€6.76,€17.61 
Teclast P10HD 4G Tablets 10.1inch Android 9.0 1920x1200 Octa Core 3GB +32GB,https://www.cigabuy.com/teclast-p10hd-4g-tablets-101inch-android-90-1920x1200-octa-core-3gb-32gb-p-19452.html,€102.26,€201.08 
Xiaomi Cervical Massager Back Neck Massager Far Infrared Heating Health Care,https://www.cigabuy.com/xiaomi-cervical-massager-back-neck-massager-far-infrared-heating-health-care-p-19626.html,€39.00,€94.06 
